relation,display_relation,x_index,x_id,x_type,x_name,x_source,y_index,y_id,y_type,y_name,y_source
protein_protein,ppi,0,9796,gene/protein,PHYHIP,NCBI,8889,56992,gene/protein,KIF15,NCBI
protein_protein,ppi,1,7918,gene/protein,GPANK1,NCBI,2798,9240,gene/protein,PNMA1,NCBI
protein_protein,ppi,2,8233,gene/protein,ZRSR2,NCBI,5646,23548,gene/protein,TTC33,NCBI
protein_protein,ppi,3,4899,gene/protein,NRF1,NCBI,11592,11253,gene/protein,MAN1B1,NCBI
protein_protein,ppi,4,5297,gene/protein,PI4KA,NCBI,2122,8601,gene/protein,RGS20,NCBI
protein_protein,ppi,5,6564,gene/protein,SLC15A1,NCBI,2352,8933,gene/protein,RTL8C,NCBI
protein_protein,ppi,6,8668,gene/protein,EIF3I,NCBI,5164,22976,gene/protein,PAXIP1,NCBI
protein_protein,ppi,7,10826,gene/protein,FAXDC2,NCBI,3934,345274,gene/protein,SLC10A6,NCBI
protein_protein,ppi,8,4489,gene/protein,MT1A,NCBI,1785,7157,gene/protein,TP53,NCBI
protein_protein,ppi,9,6272,gene/protein,SORT1,NCBI,13895,54873,gene/protein,PALMD,NCBI
protein_protein,ppi,10,4041,gene/protein,LRP5,NCBI,4579,50943,gene/protein,FOXP3,NCBI
protein_protein,ppi,11,6202,gene/protein,RPS8,NCBI,3124,9733,gene/protein,SART3,NCBI
protein_protein,ppi,12,924,gene/protein,CD7,NCBI,7681,94097,gene/protein,SFXN5,NCBI
protein_protein,ppi,13,65005,gene/protein,MRPL9,NCBI,9982,80775,gene/protein,TMEM177,NCBI
protein_protein,ppi,14,5704,gene/protein,PSMC4,NCBI,9477,80755,gene/protein,AARSD1,NCBI
protein_protein,ppi,15,1958,gene/protein,EGR1,NCBI,60311,54965,gene/protein,PIGX,NCBI
protein_protein,ppi,16,6633,gene/protein,SNRPD2,NCBI,3235,9128,gene/protein,PRPF4,NCBI
protein_protein,ppi,17,85289,gene/protein,KRTAP4-5,NCBI,3463,386675,gene/protein,KRTAP10-7,NCBI
protein_protein,ppi,18,6872,gene/protein,TAF1,NCBI,60860,85028,gene/protein,SNHG12,NCBI
protein_protein,ppi,19,10451,gene/protein,VAV3,NCBI,3005,54764,gene/protein,ZRANB1,NCBI
protein_protein,ppi,20,3846,gene/protein,KRTAP5-9,NCBI,2512,386682,gene/protein,KRTAP10-3,NCBI
protein_protein,ppi,21,3163,gene/protein,HMOX2,NCBI,9739,91289,gene/protein,LMF2,NCBI
protein_protein,ppi,22,2353,gene/protein,FOS,NCBI,6453,23411,gene/protein,SIRT1,NCBI
protein_protein,ppi,23,5611,gene/protein,DNAJC3,NCBI,189,7316,gene/protein,UBC,NCBI
protein_protein,ppi,24,3965,gene/protein,LGALS9,NCBI,3551,10130,gene/protein,PDIA6,NCBI
protein_protein,ppi,25,4609,gene/protein,MYC,NCBI,3504,10084,gene/protein,PQBP1,NCBI
protein_protein,ppi,26,9064,gene/protein,MAP3K6,NCBI,4579,50943,gene/protein,FOXP3,NCBI
protein_protein,ppi,27,54474,gene/protein,KRT20,NCBI,899,115265,gene/protein,DDIT4L,NCBI
protein_protein,ppi,28,114791,gene/protein,TUBGCP5,NCBI,57595,653784,gene/protein,MZT2A,NCBI
protein_protein,ppi,29,2147,gene/protein,F2,NCBI,844,6696,gene/protein,SPP1,NCBI
protein_protein,ppi,16,6633,gene/protein,SNRPD2,NCBI,216,23385,gene/protein,NCSTN,NCBI
protein_protein,ppi,30,1759,gene/protein,DNM1,NCBI,8377,23523,gene/protein,CABIN1,NCBI
protein_protein,ppi,31,10726,gene/protein,NUDC,NCBI,10422,55764,gene/protein,IFT122,NCBI
protein_protein,ppi,32,963,gene/protein,CD53,NCBI,1360,57228,gene/protein,SMAGP,NCBI
protein_protein,ppi,33,2932,gene/protein,GSK3B,NCBI,4817,4853,gene/protein,NOTCH2,NCBI
protein_protein,ppi,34,55739,gene/protein,NAXD,NCBI,4919,386676,gene/protein,KRTAP10-9,NCBI
protein_protein,ppi,35,57709,gene/protein,SLC7A14,NCBI,1824,93380,gene/protein,MMGT1,NCBI
protein_protein,ppi,36,5817,gene/protein,PVR,NCBI,9409,84102,gene/protein,SLC41A2,NCBI
protein_protein,ppi,37,1186,gene/protein,CLCN7,NCBI,1059,54682,gene/protein,MANSC1,NCBI
protein_protein,ppi,38,891,gene/protein,CCNB1,NCBI,5918,9133,gene/protein,CCNB2,NCBI
protein_protein,ppi,33,2932,gene/protein,GSK3B,NCBI,8918,11033,gene/protein,ADAP1,NCBI
protein_protein,ppi,39,22809,gene/protein,ATF5,NCBI,61287,100130958,gene/protein,SYCE1L,NCBI
protein_protein,ppi,40,1017,gene/protein,CDK2,NCBI,1546,3276,gene/protein,PRMT1,NCBI
protein_protein,ppi,41,4728,gene/protein,NDUFS8,NCBI,6930,25915,gene/protein,NDUFAF3,NCBI
protein_protein,ppi,42,5307,gene/protein,PITX1,NCBI,6909,337974,gene/protein,KRTAP19-7,NCBI
protein_protein,ppi,43,5295,gene/protein,PIK3R1,NCBI,2250,6850,gene/protein,SYK,NCBI
protein_protein,ppi,44,6732,gene/protein,SRPK1,NCBI,1437,7325,gene/protein,UBE2E2,NCBI
protein_protein,ppi,45,3238,gene/protein,HOXD12,NCBI,9282,9935,gene/protein,MAFB,NCBI
protein_protein,ppi,46,28969,gene/protein,BZW2,NCBI,6111,55248,gene/protein,PACC1,NCBI
