Head Curie,Tail Curie,Relationship type,Score,Source
DOID_13814,HP_0010826,mapping,14.9604,aml
HP_0010826,DOID_13814,mapping,14.9604,aml
BTO_0005986,EFO_0000181,mapping,14.7422,aml
EFO_0000181,BTO_0005986,mapping,14.7422,aml
BTO_0002219,EFO_1000796,mapping,14.574,aml
EFO_1000796,BTO_0002219,mapping,14.574,aml
UBERON_0002260,BTO_0000865,mapping,10.7236,aml
BTO_0000865,UBERON_0002260,mapping,10.7236,aml
HP_0000174,DOID_1682,mapping,10.6255,aml
DOID_1682,HP_0000174,mapping,10.6255,aml
HP_0002040,DOID_112,mapping,10.2298,aml
DOID_112,HP_0002040,mapping,10.2298,aml
UBERON_0014940,mesh_D017397,mapping,10.152,aml
mesh_D017397,UBERON_0014940,mapping,10.152,aml
EFO_1000350,BTO_0000608,mapping,9.1458,aml
BTO_0000608,EFO_1000350,mapping,9.1458,aml
HP_0010825,DOID_339,mapping,8.1296,aml
DOID_339,HP_0010825,mapping,8.1296,aml
HP_0005743,DOID_14415,mapping,6.4835,aml
